instant,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
35,2,45.0,1,6,4746.0,1,1,4.0,3,2,2.0,1,25.0,1,1,2.0,3,1.0,0,1,0
36,3,48.0,1,2,6110.0,1,2,1.0,3,2,3.0,2,31.0,0,0,1.0,1,1.0,1,1,1
37,0,18.0,3,6,2100.0,1,2,4.0,3,0,2.0,3,37.0,2,1,1.0,1,1.0,0,1,0
38,0,10.0,3,1,1225.0,1,2,2.0,3,2,2.0,0,37.0,1,1,1.0,1,1.0,1,1,1
39,2,9.0,3,6,458.0,1,2,4.0,3,2,3.0,3,24.0,1,1,1.0,1,1.0,0,1,1
40,3,30.0,3,6,2333.0,3,0,4.0,3,2,2.0,0,30.0,0,1,1.0,0,1.0,0,1,1
41,2,12.0,3,6,1158.0,3,2,3.0,1,2,1.0,0,26.0,1,1,1.0,1,1.0,1,1,1
42,2,18.0,2,7,6204.0,1,2,2.0,3,2,4.0,3,44.0,1,1,1.0,3,2.0,1,1,1
43,1,30.0,1,9,6187.0,2,3,1.0,2,2,4.0,0,24.0,1,2,2.0,1,1.0,0,1,1
44,1,48.0,1,9,6143.0,1,0,4.0,0,2,4.0,2,58.0,2,0,2.0,3,1.0,0,1,0
45,3,11.0,1,4,1393.0,1,1,4.0,0,2,4.0,0,35.0,1,1,2.0,0,1.0,0,1,1
46,3,36.0,3,6,2299.0,3,0,4.0,3,2,4.0,0,39.0,1,1,1.0,1,1.0,0,1,1
47,1,6.0,3,9,1352.0,3,4,1.0,0,2,2.0,1,23.0,1,2,1.0,2,1.0,1,1,1
48,3,11.0,1,4,7228.0,1,2,1.0,3,2,4.0,1,39.0,1,1,2.0,3,1.0,0,1,1
49,3,12.0,3,6,2073.0,2,2,4.0,0,0,2.0,3,28.0,1,1,1.0,1,1.0,0,1,1
50,2,24.0,2,3,2333.0,4,1,4.0,3,2,2.0,1,29.0,0,1,1.0,3,1.0,0,1,1
51,2,27.0,2,9,5965.0,1,0,1.0,3,2,2.0,0,30.0,1,1,2.0,0,1.0,1,1,1
52,3,12.0,3,6,1262.0,1,2,3.0,3,2,2.0,0,25.0,1,1,1.0,1,1.0,0,1,1
53,3,18.0,3,9,3378.0,4,2,2.0,3,2,1.0,1,31.0,1,1,1.0,1,1.0,1,1,1
54,2,36.0,2,4,2225.0,1,0,4.0,3,2,4.0,2,57.0,0,0,2.0,1,1.0,1,1,0
55,3,6.0,0,4,783.0,4,2,1.0,3,1,2.0,3,26.0,2,1,1.0,3,2.0,0,1,1
56,2,12.0,3,6,6468.0,4,4,2.0,3,2,1.0,2,52.0,1,1,1.0,0,1.0,1,1,0
57,3,36.0,1,6,9566.0,1,2,2.0,0,2,2.0,0,31.0,2,1,2.0,1,1.0,0,1,1
58,0,18.0,3,4,1961.0,1,0,3.0,0,2,2.0,0,23.0,1,1,1.0,0,1.0,0,1,1
59,1,36.0,1,3,6229.0,1,1,4.0,0,0,4.0,2,23.0,1,2,2.0,3,1.0,1,1,0
60,2,9.0,3,0,1391.0,1,2,2.0,2,2,1.0,3,27.0,0,1,1.0,1,1.0,1,1,1
61,2,15.0,1,6,1537.0,4,0,4.0,3,1,4.0,3,50.0,1,1,2.0,1,1.0,1,1,1
62,2,36.0,4,0,1953.0,1,0,4.0,3,2,4.0,2,61.0,1,0,1.0,0,1.0,1,1,0
63,2,48.0,4,0,14421.0,1,2,2.0,3,2,2.0,0,25.0,1,1,1.0,1,1.0,1,1,0
64,3,24.0,3,6,3181.0,1,1,4.0,0,2,4.0,1,26.0,1,1,1.0,1,1.0,1,1,1
65,3,27.0,3,7,5190.0,4,0,4.0,3,2,4.0,1,48.0,1,1,4.0,1,2.0,1,1,1
66,3,12.0,3,6,2171.0,1,1,2.0,0,2,2.0,0,29.0,0,1,1.0,1,1.0,0,1,1
67,2,12.0,3,4,1007.0,0,2,4.0,2,2,1.0,3,22.0,1,1,1.0,1,1.0,0,1,1
68,3,36.0,3,2,1819.0,1,2,4.0,3,2,4.0,2,37.0,2,0,1.0,1,1.0,1,1,0
69,3,36.0,3,6,2394.0,4,2,4.0,0,2,4.0,0,25.0,1,1,1.0,1,1.0,0,1,1
70,3,36.0,3,9,8133.0,1,2,1.0,0,2,2.0,1,30.0,0,1,1.0,1,1.0,0,1,1
71,3,7.0,1,6,730.0,4,0,4.0,3,2,2.0,1,46.0,1,2,2.0,3,1.0,1,1,1
72,1,8.0,1,5,1164.0,1,0,3.0,3,2,4.0,2,51.0,0,0,2.0,0,2.0,1,1,1
73,2,42.0,1,0,5954.0,1,3,2.0,0,2,1.0,3,41.0,0,1,2.0,3,1.0,0,1,1
74,1,36.0,3,2,1977.0,4,0,4.0,3,2,4.0,2,40.0,1,1,1.0,0,1.0,1,1,0
75,1,12.0,1,9,1526.0,1,0,4.0,3,2,4.0,2,66.0,1,0,2.0,0,1.0,0,1,1
76,1,42.0,3,6,3965.0,1,1,4.0,3,2,3.0,0,34.0,1,1,1.0,1,1.0,0,1,0
77,2,11.0,2,6,4771.0,1,3,2.0,3,2,4.0,1,51.0,1,1,1.0,1,1.0,0,1,1
78,3,54.0,4,9,9436.0,4,2,2.0,3,2,2.0,1,39.0,1,1,1.0,3,2.0,0,1,1
79,2,30.0,3,3,3832.0,1,1,2.0,2,2,1.0,1,22.0,1,1,1.0,1,1.0,0,1,1
80,3,24.0,3,6,5943.0,4,1,1.0,0,2,1.0,0,44.0,1,1,2.0,1,1.0,1,1,0
81,3,15.0,3,6,1213.0,3,0,4.0,3,2,3.0,1,47.0,2,1,1.0,1,1.0,1,1,1
82,3,18.0,3,0,1568.0,2,2,3.0,0,2,4.0,1,24.0,1,2,1.0,3,1.0,0,1,1
83,1,24.0,3,5,1755.0,1,0,4.0,0,1,4.0,3,58.0,1,1,1.0,3,1.0,1,1,1
84,1,10.0,3,6,2315.0,1,0,3.0,3,2,4.0,3,52.0,1,1,1.0,3,1.0,0,1,1
85,3,12.0,1,0,1412.0,1,2,4.0,0,1,2.0,3,29.0,1,1,2.0,0,1.0,1,1,1
86,2,18.0,1,3,1295.0,1,1,4.0,0,2,1.0,1,27.0,1,1,2.0,1,1.0,0,1,1
87,2,36.0,3,2,12612.0,2,2,1.0,3,2,4.0,2,47.0,1,0,1.0,1,2.0,1,1,0
88,1,18.0,3,4,2249.0,2,3,4.0,3,2,3.0,0,30.0,1,1,1.0,0,2.0,1,1,1
89,1,12.0,4,7,1108.0,1,3,4.0,3,2,3.0,3,28.0,1,1,2.0,1,1.0,0,1,0
90,3,12.0,1,6,618.0,1,0,4.0,3,2,4.0,3,56.0,1,1,1.0,1,1.0,0,1,1
91,1,12.0,1,9,1409.0,1,0,4.0,3,2,3.0,3,54.0,1,1,1.0,1,1.0,0,1,1
92,3,12.0,1,6,797.0,4,0,4.0,0,2,3.0,1,33.0,0,1,1.0,3,2.0,0,1,0
93,0,24.0,1,3,3617.0,4,0,4.0,3,0,4.0,2,20.0,1,2,2.0,1,1.0,0,1,1
94,2,12.0,3,4,1318.0,0,0,4.0,3,2,4.0,3,54.0,1,1,1.0,1,1.0,1,1,1
95,2,54.0,4,0,15945.0,1,1,3.0,3,2,4.0,2,58.0,1,2,1.0,1,1.0,1,1,0
96,3,12.0,1,2,2012.0,4,3,4.0,0,2,2.0,0,61.0,1,1,1.0,1,1.0,0,1,1
97,2,18.0,3,0,2622.0,2,2,4.0,3,2,4.0,0,34.0,1,1,1.0,1,1.0,0,1,1
98,2,36.0,1,6,2337.0,1,0,4.0,3,2,4.0,3,36.0,1,1,1.0,1,1.0,0,1,1
99,2,20.0,2,9,7057.0,4,3,3.0,3,2,4.0,1,36.0,0,2,2.0,0,2.0,1,1,1
100,3,24.0,3,4,1469.0,2,0,4.0,2,2,4.0,3,41.0,1,2,1.0,3,1.0,0,1,1
101,2,36.0,3,6,2323.0,1,3,4.0,3,2,4.0,0,24.0,1,2,1.0,1,1.0,0,1,1
102,3,6.0,2,6,932.0,1,2,3.0,0,2,2.0,3,24.0,1,1,1.0,1,1.0,0,1,1
103,2,9.0,1,3,1919.0,1,3,4.0,3,2,3.0,0,35.0,1,2,1.0,1,1.0,1,1,1
104,3,12.0,3,9,2445.0,4,1,2.0,2,2,4.0,0,26.0,1,2,1.0,1,1.0,1,1,1
105,2,24.0,1,5,11938.0,1,2,2.0,3,0,3.0,0,39.0,1,1,2.0,0,2.0,1,1,0
106,3,18.0,0,4,6458.0,1,0,2.0,3,2,4.0,2,39.0,0,1,2.0,0,2.0,1,1,0
107,2,12.0,3,4,6078.0,1,3,2.0,3,2,2.0,0,32.0,1,1,1.0,1,1.0,0,1,1
108,1,24.0,3,3,7721.0,4,1,1.0,0,2,2.0,1,30.0,1,1,1.0,1,1.0,1,0,1
109,2,14.0,3,0,1410.0,3,0,1.0,2,2,2.0,3,35.0,1,1,1.0,1,1.0,1,1,1
110,2,6.0,2,0,1449.0,2,0,1.0,1,2,2.0,0,31.0,0,1,2.0,1,2.0,0,1,1
111,0,15.0,3,2,392.0,1,1,4.0,0,2,4.0,1,23.0,1,2,1.0,1,1.0,1,1,1
112,2,18.0,3,4,6260.0,1,3,3.0,3,2,3.0,3,28.0,1,2,1.0,3,1.0,0,1,1
113,3,36.0,1,4,7855.0,1,2,4.0,0,2,2.0,3,25.0,2,1,2.0,1,1.0,1,1,0
114,1,12.0,3,6,1680.0,3,0,3.0,2,2,1.0,3,35.0,1,1,1.0,1,1.0,0,1,1
115,3,48.0,1,6,3578.0,4,0,4.0,3,2,1.0,3,47.0,1,1,1.0,1,1.0,1,1,1
116,1,42.0,3,6,7174.0,4,3,4.0,0,2,3.0,0,30.0,1,1,1.0,0,1.0,1,1,0
117,1,10.0,1,3,2132.0,4,1,2.0,0,0,3.0,3,27.0,1,2,2.0,1,1.0,0,0,1
118,1,33.0,1,3,4281.0,3,2,1.0,0,2,4.0,0,23.0,1,1,2.0,1,1.0,0,1,0
119,2,12.0,1,4,2366.0,3,3,3.0,1,2,3.0,0,36.0,1,1,1.0,0,1.0,1,1,1
120,1,21.0,3,6,1835.0,1,2,3.0,0,2,2.0,3,25.0,1,1,2.0,1,1.0,1,1,0
121,3,24.0,1,9,3868.0,1,0,4.0,0,2,2.0,0,41.0,1,2,2.0,0,1.0,1,1,1
122,3,12.0,3,3,1768.0,1,2,3.0,3,2,2.0,3,24.0,1,2,1.0,3,1.0,0,1,1
123,0,10.0,1,4,781.0,1,0,4.0,3,2,4.0,2,63.0,1,0,2.0,1,1.0,1,1,1
124,2,18.0,3,3,1924.0,4,1,4.0,0,2,3.0,3,27.0,1,2,1.0,1,1.0,0,1,0
125,1,12.0,1,4,2121.0,1,2,4.0,3,2,2.0,1,30.0,1,1,2.0,1,1.0,0,1,1
126,1,12.0,3,6,701.0,1,2,4.0,2,2,2.0,3,40.0,1,1,1.0,3,1.0,0,1,1
127,2,12.0,3,7,639.0,1,2,4.0,3,2,2.0,0,30.0,1,1,1.0,1,1.0,0,1,0
128,2,12.0,1,9,1860.0,1,4,4.0,3,2,2.0,0,34.0,1,1,2.0,0,1.0,1,1,1
129,1,12.0,1,4,3499.0,1,2,3.0,0,0,2.0,3,29.0,1,1,2.0,1,1.0,0,1,0
130,2,48.0,3,4,8487.0,4,3,1.0,0,2,2.0,0,24.0,1,1,1.0,1,1.0,0,1,1
131,1,36.0,2,2,6887.0,1,2,4.0,3,2,3.0,1,29.0,2,1,1.0,1,1.0,1,1,0
132,3,15.0,3,3,2708.0,1,1,2.0,3,2,3.0,1,27.0,0,1,2.0,3,1.0,0,1,1
133,3,18.0,3,3,1984.0,1,2,4.0,3,2,4.0,2,47.0,0,0,2.0,1,1.0,0,1,1
134,3,60.0,3,6,10144.0,2,3,2.0,0,2,4.0,3,21.0,1,1,1.0,1,1.0,1,1,1
135,3,12.0,1,6,1240.0,4,0,4.0,0,2,2.0,3,38.0,1,1,2.0,1,1.0,1,1,1
136,3,27.0,2,9,8613.0,0,2,2.0,3,2,2.0,0,27.0,1,1,2.0,1,1.0,0,1,1
137,2,12.0,3,6,766.0,3,2,4.0,3,2,3.0,3,66.0,1,1,1.0,3,1.0,0,1,0
138,2,15.0,1,6,2728.0,4,3,4.0,3,1,2.0,3,35.0,0,1,3.0,1,1.0,1,1,1
139,0,12.0,3,6,1881.0,1,2,2.0,0,2,2.0,0,44.0,1,2,1.0,3,1.0,1,1,1
140,0,6.0,3,4,709.0,0,1,2.0,2,2,2.0,3,27.0,1,1,1.0,2,1.0,0,0,1
141,2,36.0,3,6,4795.0,1,1,4.0,0,2,1.0,2,30.0,1,1,1.0,0,1.0,1,1,1
142,1,27.0,3,6,3416.0,1,2,3.0,3,2,2.0,0,27.0,1,1,1.0,0,1.0,0,1,1
143,1,18.0,3,3,2462.0,1,2,2.0,3,2,2.0,0,22.0,1,1,1.0,1,1.0,0,1,0
144,3,21.0,1,3,2288.0,1,1,4.0,0,2,4.0,1,23.0,1,1,1.0,1,1.0,1,1,1
145,2,48.0,0,0,3566.0,2,3,4.0,3,2,2.0,0,30.0,1,1,1.0,1,1.0,0,1,1
146,1,6.0,1,4,860.0,1,0,1.0,0,2,4.0,2,39.0,1,1,2.0,1,1.0,1,1,1
147,3,12.0,1,4,682.0,2,3,4.0,0,2,3.0,0,51.0,1,1,2.0,1,1.0,1,1,1
148,1,36.0,1,3,5371.0,1,2,3.0,3,1,2.0,1,28.0,1,1,2.0,1,1.0,0,1,1
149,3,18.0,1,6,1582.0,0,0,4.0,3,2,4.0,0,46.0,1,1,2.0,1,1.0,0,1,1
150,3,6.0,3,6,1346.0,2,0,2.0,3,2,4.0,2,42.0,0,0,1.0,1,2.0,1,1,1
151,3,10.0,3,6,1924.0,1,2,1.0,3,2,4.0,1,38.0,1,1,1.0,1,1.0,1,0,1
152,0,36.0,3,6,5848.0,1,2,4.0,3,2,1.0,0,24.0,1,1,1.0,1,1.0,0,1,1
153,2,24.0,1,9,7758.0,0,0,2.0,0,2,4.0,2,29.0,1,2,1.0,1,1.0,0,1,1
154,2,24.0,2,0,6967.0,2,3,4.0,3,2,4.0,0,36.0,1,2,1.0,0,1.0,1,1,1
155,1,12.0,3,3,1282.0,1,2,2.0,0,2,4.0,0,20.0,1,2,1.0,1,1.0,0,1,0
156,1,9.0,1,7,1288.0,2,0,3.0,3,1,4.0,3,48.0,1,1,2.0,1,2.0,0,0,1
157,1,12.0,0,8,339.0,1,0,4.0,2,2,1.0,0,45.0,0,1,1.0,3,1.0,0,1,1
158,2,24.0,3,4,3512.0,2,3,2.0,3,2,3.0,0,38.0,0,1,2.0,1,1.0,1,1,1
159,3,6.0,1,6,1898.0,4,2,1.0,3,2,2.0,3,34.0,1,1,2.0,3,2.0,0,1,1
160,3,24.0,1,6,2872.0,2,0,3.0,3,2,4.0,3,36.0,1,1,1.0,1,2.0,1,1,1
161,3,18.0,1,4,1055.0,1,1,4.0,0,2,1.0,1,30.0,1,1,2.0,1,1.0,0,1,1
162,3,15.0,3,1,1262.0,3,3,4.0,3,2,3.0,1,36.0,1,1,2.0,1,1.0,1,1,1
163,2,10.0,3,4,7308.0,1,4,2.0,3,2,4.0,2,70.0,0,0,1.0,0,1.0,1,1,1
164,3,36.0,3,4,909.0,3,0,4.0,3,2,4.0,1,36.0,1,1,1.0,1,1.0,0,1,1
165,3,6.0,3,3,2978.0,3,2,1.0,3,2,2.0,0,32.0,1,1,1.0,1,1.0,1,1,1
166,1,18.0,3,3,1131.0,1,4,4.0,0,2,2.0,0,33.0,1,1,1.0,1,1.0,0,1,0
167,2,11.0,3,3,1577.0,0,1,4.0,0,2,1.0,3,20.0,1,1,1.0,1,1.0,0,1,1
168,3,24.0,3,3,3972.0,1,3,2.0,0,2,4.0,1,25.0,1,2,1.0,1,1.0,1,1,1
169,2,24.0,1,0,1935.0,1,0,4.0,1,2,4.0,3,31.0,1,1,2.0,1,1.0,1,1,0
170,1,15.0,4,4,950.0,1,0,4.0,3,2,3.0,0,33.0,1,2,2.0,1,2.0,0,1,0
171,3,12.0,3,3,763.0,1,2,4.0,0,2,1.0,3,26.0,1,1,1.0,1,1.0,1,1,1
172,2,24.0,2,3,2064.0,1,4,3.0,0,2,2.0,1,34.0,1,1,1.0,0,1.0,1,1,0
173,2,8.0,3,6,1414.0,1,2,4.0,3,1,2.0,3,33.0,1,1,1.0,1,1.0,0,0,1
174,1,21.0,2,2,3414.0,1,1,2.0,3,2,1.0,1,26.0,1,1,2.0,1,1.0,0,1,0
175,3,30.0,0,9,7485.0,4,4,4.0,0,2,1.0,3,53.0,0,1,1.0,0,1.0,1,1,0
176,1,12.0,3,3,2577.0,1,2,2.0,1,2,1.0,0,42.0,1,1,1.0,1,1.0,0,1,1
177,1,6.0,1,6,338.0,3,0,4.0,3,2,4.0,0,52.0,1,1,2.0,1,1.0,0,1,1
178,3,12.0,3,6,1963.0,1,3,4.0,3,2,2.0,0,31.0,1,2,2.0,0,2.0,1,1,1
179,1,21.0,1,4,571.0,1,0,4.0,3,2,4.0,3,65.0,1,1,2.0,1,1.0,0,1,1
180,3,36.0,2,0,9572.0,1,1,1.0,1,2,1.0,0,28.0,1,1,2.0,1,1.0,0,1,0
181,2,36.0,2,0,4455.0,1,2,2.0,1,2,2.0,3,30.0,2,1,2.0,0,1.0,1,1,0
182,1,21.0,0,4,1647.0,4,2,4.0,3,2,2.0,1,40.0,1,1,2.0,3,2.0,0,1,0
183,3,24.0,1,3,3777.0,0,2,4.0,3,2,4.0,3,50.0,1,1,1.0,1,1.0,1,1,1
184,2,18.0,1,4,884.0,1,0,4.0,3,2,4.0,0,36.0,0,1,1.0,1,2.0,1,1,0
185,3,15.0,1,6,1360.0,1,2,4.0,3,2,2.0,1,31.0,1,1,2.0,1,1.0,0,1,1
186,2,9.0,0,9,5129.0,1,0,2.0,0,2,4.0,2,74.0,0,0,1.0,0,2.0,1,1,0
187,2,16.0,1,4,1175.0,1,4,2.0,3,2,3.0,0,68.0,1,0,3.0,2,1.0,1,1,1
188,1,12.0,3,6,674.0,2,3,4.0,2,2,1.0,1,20.0,1,1,1.0,1,1.0,0,1,0
189,2,18.0,4,3,3244.0,1,2,1.0,0,2,4.0,0,33.0,0,1,2.0,1,1.0,1,1,1
190,3,24.0,3,0,4591.0,0,2,2.0,3,2,3.0,1,54.0,1,1,3.0,0,1.0,1,1,0
191,2,48.0,4,0,3844.0,2,3,4.0,3,2,4.0,2,34.0,1,0,1.0,3,2.0,0,1,0
192,2,27.0,3,0,3915.0,1,2,4.0,3,2,2.0,0,36.0,1,1,1.0,1,2.0,1,1,0
193,3,6.0,3,6,2108.0,1,3,2.0,2,2,2.0,3,29.0,1,2,1.0,1,1.0,0,1,1
194,2,45.0,3,6,3031.0,2,2,4.0,3,1,4.0,1,21.0,1,2,1.0,1,1.0,0,1,0
195,2,9.0,1,2,1501.0,1,0,2.0,0,2,3.0,0,34.0,1,1,2.0,0,1.0,1,1,0
196,3,6.0,1,6,1382.0,1,2,1.0,0,2,1.0,0,28.0,1,1,2.0,1,1.0,1,1,1
197,2,12.0,3,3,951.0,2,1,4.0,0,2,4.0,0,27.0,0,2,4.0,1,1.0,0,1,0
198,2,24.0,3,9,2760.0,4,0,4.0,3,2,4.0,2,36.0,0,0,1.0,1,1.0,1,1,1
199,2,18.0,2,3,4297.0,1,0,4.0,1,2,3.0,2,40.0,1,1,1.0,0,1.0,1,1,0
200,3,9.0,1,2,936.0,3,0,4.0,3,2,2.0,0,52.0,1,1,2.0,1,1.0,1,1,1
201,1,12.0,3,4,1168.0,1,2,4.0,2,2,3.0,3,27.0,1,1,1.0,3,1.0,0,1,1
202,3,27.0,2,0,5117.0,1,3,3.0,3,2,4.0,0,26.0,1,1,2.0,1,1.0,0,1,1
203,1,12.0,3,8,902.0,1,3,4.0,2,2,4.0,1,21.0,1,2,1.0,1,1.0,0,1,0
204,3,12.0,1,4,1495.0,1,0,4.0,3,2,1.0,3,38.0,1,1,2.0,3,2.0,0,1,1
205,1,30.0,1,9,10623.0,1,0,3.0,3,2,4.0,2,38.0,1,0,3.0,0,2.0,1,1,1
206,3,12.0,1,3,1935.0,1,0,4.0,3,2,4.0,3,43.0,1,1,3.0,1,1.0,1,1,1
207,2,12.0,1,1,1424.0,1,3,4.0,3,2,3.0,1,26.0,1,1,1.0,1,1.0,0,1,1
208,1,24.0,3,0,6568.0,1,2,2.0,2,2,2.0,0,21.0,2,1,1.0,3,1.0,0,1,1
209,3,12.0,3,9,1413.0,0,3,3.0,3,2,2.0,1,55.0,1,1,1.0,1,1.0,0,0,1
210,3,9.0,1,6,3074.0,4,2,1.0,3,2,2.0,3,33.0,1,1,2.0,1,2.0,0,1,1
211,3,36.0,3,6,3835.0,4,0,2.0,0,2,4.0,3,45.0,1,1,1.0,3,1.0,1,1,1
212,1,27.0,4,0,5293.0,1,4,2.0,3,2,4.0,1,50.0,2,1,2.0,1,1.0,1,1,0
213,0,30.0,2,0,1908.0,1,0,4.0,3,2,4.0,3,66.0,1,1,1.0,0,1.0,1,1,0
214,3,36.0,1,6,3342.0,4,0,4.0,3,2,2.0,0,51.0,1,1,1.0,1,1.0,1,1,1
215,2,6.0,1,8,932.0,4,3,1.0,0,2,3.0,1,39.0,1,1,2.0,3,1.0,0,1,1
216,1,18.0,4,0,3104.0,1,3,3.0,3,2,1.0,1,31.0,0,1,1.0,1,1.0,1,1,1
217,0,36.0,3,6,3913.0,1,2,2.0,3,2,2.0,3,23.0,1,1,1.0,1,1.0,1,1,1
218,1,24.0,3,3,3021.0,1,2,2.0,1,2,2.0,3,24.0,1,2,1.0,3,1.0,0,1,1
219,3,10.0,3,4,1364.0,1,2,2.0,0,2,4.0,0,64.0,1,1,1.0,1,1.0,1,1,1
220,2,12.0,3,6,625.0,1,1,4.0,2,1,1.0,3,26.0,0,1,1.0,3,1.0,0,1,1
221,1,12.0,3,2,1200.0,4,2,4.0,0,2,4.0,1,23.0,0,2,1.0,1,1.0,1,1,1
222,3,12.0,3,6,707.0,1,2,4.0,3,2,2.0,3,30.0,0,1,2.0,1,1.0,0,1,1
223,3,24.0,2,0,2978.0,4,2,4.0,3,2,4.0,3,32.0,1,1,2.0,1,2.0,1,1,1
224,3,15.0,3,9,4657.0,1,2,3.0,3,2,2.0,0,30.0,1,1,1.0,1,1.0,1,1,1
225,3,36.0,4,7,2613.0,1,2,4.0,3,2,2.0,0,27.0,1,1,2.0,1,1.0,0,1,1
226,2,48.0,3,6,10961.0,0,3,1.0,3,0,2.0,2,27.0,0,1,2.0,1,1.0,1,1,0
227,1,12.0,3,3,7865.0,1,0,4.0,3,2,4.0,2,53.0,1,0,1.0,0,1.0,1,1,0
228,3,9.0,3,6,1478.0,1,3,4.0,3,2,2.0,0,22.0,1,1,1.0,1,1.0,0,1,0
229,1,24.0,3,3,3149.0,1,1,4.0,3,2,1.0,2,22.0,0,0,1.0,1,1.0,0,1,1
230,0,36.0,3,6,4210.0,1,2,4.0,3,2,2.0,0,26.0,1,1,1.0,1,1.0,0,1,0
231,3,9.0,3,4,2507.0,3,0,2.0,3,2,4.0,2,51.0,1,0,1.0,3,1.0,0,1,1
232,3,12.0,3,6,2141.0,2,3,3.0,3,2,1.0,2,35.0,1,1,1.0,1,1.0,0,1,1
233,2,18.0,3,6,866.0,1,2,4.0,2,1,2.0,3,25.0,1,1,1.0,3,1.0,0,1,1
