instant,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,target
58,0,45.4,14.6,211.0,4800.0,0.0,2007,2
59,1,38.1,17.6,187.0,3425.0,0.0,2009,0
60,0,39.7,18.9,184.0,3550.0,1.0,2009,0
61,0,48.1,15.1,209.0,5500.0,1.0,2009,2
62,0,47.6,14.5,215.0,5400.0,1.0,2007,2
63,1,52.0,19.0,197.0,4150.0,1.0,2007,1
64,1,45.2,17.8,198.0,3950.0,0.0,2007,1
65,1,46.8,16.5,189.0,3650.0,0.0,2009,1
66,1,46.5,17.9,192.0,3500.0,0.0,2007,1
67,0,48.7,14.1,210.0,4450.0,0.0,2007,2
68,1,40.7,17.0,190.0,3725.0,1.0,2009,0
69,1,50.8,19.0,210.0,4100.0,1.0,2009,1
70,1,45.7,17.3,193.0,3600.0,0.0,2009,1
71,0,41.3,21.1,195.0,4400.0,1.0,2008,0
72,1,47.0,17.3,185.0,3700.0,0.0,2007,1
73,1,41.3,20.3,194.0,3550.0,1.0,2008,0
74,2,40.9,16.8,191.0,3700.0,0.0,2008,0
75,0,35.0,17.9,190.0,3450.0,0.0,2008,0
76,0,40.1,18.9,188.0,4300.0,1.0,2008,0
77,0,49.6,16.0,225.0,5700.0,1.0,2008,2
78,0,45.7,13.9,214.0,4400.0,0.0,2008,2
79,0,50.5,15.9,222.0,5550.0,1.0,2008,2
80,1,51.3,19.2,193.0,3650.0,1.0,2007,1
81,0,55.1,16.0,230.0,5850.0,1.0,2009,2
82,0,46.6,14.2,210.0,4850.0,0.0,2008,2
83,0,48.6,16.0,230.0,5800.0,1.0,2008,2
84,1,38.1,18.6,190.0,3700.0,0.0,2008,0
86,0,44.0,13.6,208.0,4350.0,0.0,2008,2
87,0,42.0,13.5,210.0,4150.0,0.0,2007,2
88,2,35.9,16.6,190.0,3050.0,0.0,2008,0
89,0,50.1,15.0,225.0,5000.0,1.0,2008,2
90,0,48.2,14.3,210.0,4600.0,0.0,2007,2
91,0,51.3,14.2,218.0,5300.0,1.0,2009,2
92,2,41.1,17.6,182.0,3200.0,0.0,2007,0
93,0,41.0,20.0,203.0,4725.0,1.0,2009,0
94,0,48.5,15.0,219.0,4850.0,0.0,2009,2
95,1,58.0,17.8,181.0,3700.0,0.0,2007,1
96,2,41.4,18.5,202.0,3875.0,1.0,2009,0
97,0,37.6,17.0,185.0,3600.0,0.0,2008,0
98,1,49.8,17.3,198.0,3675.0,0.0,2009,1
99,2,38.7,19.0,195.0,3450.0,0.0,2007,0
100,1,50.2,18.7,198.0,3775.0,0.0,2009,1
101,1,46.1,18.2,178.0,3250.0,0.0,2007,1
103,1,49.6,18.2,193.0,3775.0,1.0,2009,1
104,1,38.3,19.2,189.0,3950.0,1.0,2008,0
105,1,47.6,18.3,195.0,3850.0,0.0,2008,1
106,1,43.2,18.5,192.0,4100.0,1.0,2008,0
107,2,39.3,20.6,190.0,3650.0,1.0,2007,0
108,1,43.5,18.1,202.0,3400.0,0.0,2009,1
109,0,37.6,19.1,194.0,3750.0,1.0,2008,0
110,0,49.8,16.8,230.0,5700.0,1.0,2008,2
111,2,35.7,17.0,189.0,3350.0,0.0,2009,0
112,1,42.5,16.7,187.0,3350.0,0.0,2008,1
113,0,42.8,14.2,209.0,4700.0,0.0,2007,2
114,2,35.2,15.9,186.0,3050.0,0.0,2009,0
115,0,50.2,14.3,218.0,5700.0,1.0,2007,2
116,1,47.5,16.8,199.0,3900.0,0.0,2008,1
117,1,36.0,17.1,187.0,3700.0,0.0,2009,0
118,0,46.7,15.3,219.0,5200.0,1.0,2007,2
119,0,46.9,14.6,222.0,4875.0,0.0,2009,2
120,0,49.6,15.0,216.0,4750.0,1.0,2008,2
121,1,50.2,18.8,202.0,3800.0,1.0,2009,1
122,2,44.1,18.0,210.0,4000.0,1.0,2009,0
123,0,48.7,15.1,222.0,5350.0,1.0,2007,2
124,0,48.2,15.6,221.0,5100.0,1.0,2008,2
125,1,36.5,18.0,182.0,3150.0,0.0,2007,0
126,0,40.9,13.7,214.0,4650.0,0.0,2007,2
127,1,40.8,18.9,208.0,4300.0,1.0,2008,0
128,0,44.9,13.3,213.0,5100.0,0.0,2008,2
129,2,39.1,18.7,181.0,3750.0,1.0,2007,0
130,1,41.5,18.5,201.0,4000.0,1.0,2009,0
131,0,34.5,18.1,187.0,2900.0,0.0,2008,0
132,0,38.1,17.0,181.0,3175.0,0.0,2009,0
133,0,45.6,20.3,191.0,4600.0,1.0,2009,0
134,0,35.5,16.2,195.0,3350.0,0.0,2008,0
135,1,39.6,18.1,186.0,4450.0,1.0,2008,0
136,2,34.4,18.4,184.0,3325.0,0.0,2007,0
137,1,42.2,18.5,180.0,3550.0,0.0,2007,0
138,1,51.5,18.7,187.0,3250.0,1.0,2009,1
139,0,42.7,13.7,208.0,3950.0,0.0,2008,2
140,1,53.5,19.9,205.0,4500.0,1.0,2008,1
141,0,38.6,17.2,199.0,3750.0,0.0,2009,0
142,0,43.4,14.4,218.0,4600.0,0.0,2009,2
143,0,45.2,15.8,215.0,5300.0,1.0,2008,2
144,1,51.9,19.5,206.0,3950.0,1.0,2009,1
145,2,42.1,19.1,195.0,4000.0,1.0,2008,0
146,0,45.3,13.8,208.0,4200.0,0.0,2008,2
147,1,49.0,19.6,212.0,4300.0,1.0,2009,1
148,1,40.6,17.2,187.0,3475.0,1.0,2009,0
149,1,37.2,18.1,178.0,3900.0,1.0,2007,0
150,2,46.0,21.5,194.0,4200.0,1.0,2007,0
151,1,39.5,17.8,188.0,3300.0,0.0,2007,0
152,1,52.0,18.1,201.0,4050.0,1.0,2007,1
153,1,35.7,18.0,202.0,3550.0,0.0,2008,0
154,1,49.5,19.0,200.0,3800.0,1.0,2008,1
155,1,43.2,16.6,187.0,2900.0,0.0,2007,1
156,1,36.0,18.5,186.0,3100.0,0.0,2007,0
157,2,40.2,17.0,176.0,3450.0,0.0,2009,0
158,0,46.8,14.3,215.0,4850.0,0.0,2009,2
159,1,51.4,19.0,201.0,3950.0,1.0,2009,1
160,0,45.8,14.2,219.0,4700.0,0.0,2008,2
161,0,55.9,17.0,228.0,5600.0,1.0,2009,2
162,2,36.2,16.1,187.0,3550.0,0.0,2008,0
163,0,46.2,14.9,221.0,5300.0,1.0,2008,2
164,0,48.8,16.2,222.0,6000.0,1.0,2009,2
165,1,50.0,19.5,196.0,3900.0,1.0,2007,1
166,0,46.1,13.2,211.0,4500.0,0.0,2007,2
167,0,42.2,19.5,197.0,4275.0,1.0,2009,0
168,1,45.5,17.0,196.0,3500.0,0.0,2008,1
169,2,40.6,19.0,199.0,4000.0,1.0,2009,0
170,2,37.7,19.8,198.0,3500.0,1.0,2009,0
171,2,35.5,17.5,190.0,3700.0,0.0,2008,0
172,2,41.5,18.3,195.0,4300.0,1.0,2009,0
173,1,39.2,21.1,196.0,4150.0,1.0,2007,0
174,0,47.5,15.0,218.0,4950.0,0.0,2009,2
175,0,35.9,19.2,189.0,3800.0,0.0,2007,0
176,0,41.1,18.2,192.0,4050.0,1.0,2008,0
177,0,41.4,18.6,191.0,3700.0,1.0,2008,0
178,0,46.1,15.1,215.0,5100.0,1.0,2007,2
179,0,47.2,15.5,215.0,4975.0,0.0,2009,2
180,0,49.1,15.0,228.0,5500.0,1.0,2009,2
181,0,45.1,14.4,210.0,4400.0,0.0,2008,2
182,1,37.0,16.9,185.0,3000.0,0.0,2007,0
183,0,49.5,16.2,229.0,5800.0,1.0,2008,2
184,0,39.6,20.7,191.0,3900.0,0.0,2009,0
185,0,35.0,17.9,192.0,3725.0,0.0,2009,0
186,0,39.6,17.7,186.0,3500.0,0.0,2008,0
187,0,50.7,15.0,223.0,5550.0,1.0,2008,2
188,2,36.2,17.2,187.0,3150.0,0.0,2009,0
189,2,35.1,19.4,193.0,4200.0,1.0,2008,0
190,1,37.3,17.8,191.0,3350.0,0.0,2008,0
191,1,40.2,20.1,200.0,3975.0,1.0,2009,0
192,1,36.2,17.3,187.0,3300.0,0.0,2008,0
193,0,45.2,13.8,215.0,4750.0,0.0,2008,2
194,0,50.8,17.3,228.0,5600.0,1.0,2009,2
195,0,42.0,19.5,200.0,4050.0,1.0,2008,0
196,0,43.2,19.0,197.0,4775.0,1.0,2009,0
197,0,52.5,15.6,221.0,5450.0,1.0,2009,2
199,2,33.5,19.0,190.0,3600.0,0.0,2008,0
200,2,36.7,19.3,193.0,3450.0,0.0,2007,0
201,2,38.6,21.2,191.0,3800.0,1.0,2007,0
202,1,33.1,16.1,178.0,2900.0,0.0,2008,0
203,1,38.9,18.8,190.0,3600.0,0.0,2008,0
204,0,45.5,15.0,220.0,5000.0,1.0,2008,2
205,1,46.7,17.9,195.0,3300.0,0.0,2007,1
206,1,41.1,19.0,182.0,3425.0,1.0,2007,0
207,0,49.4,15.8,216.0,4925.0,1.0,2009,2
208,0,50.5,15.2,216.0,5000.0,0.0,2009,2
210,0,41.7,14.7,210.0,4700.0,0.0,2009,2
212,2,39.6,17.2,196.0,3550.0,0.0,2008,0
213,2,45.8,18.9,197.0,4150.0,1.0,2008,0
214,0,37.7,18.7,180.0,3600.0,1.0,2007,0
216,0,40.6,18.8,193.0,3800.0,1.0,2008,0
217,0,40.5,18.9,180.0,3950.0,1.0,2007,0
218,1,48.5,17.5,191.0,3400.0,1.0,2007,1
219,0,49.8,15.9,229.0,5950.0,1.0,2009,2
221,1,36.0,17.8,195.0,3450.0,0.0,2009,0
222,0,45.2,16.4,223.0,5950.0,1.0,2008,2
223,1,46.6,17.8,193.0,3800.0,0.0,2007,1
224,0,40.6,18.6,183.0,3550.0,1.0,2007,0
225,1,50.1,17.9,190.0,3400.0,0.0,2009,1
226,0,51.1,16.3,220.0,6000.0,1.0,2008,2
227,0,47.4,14.6,212.0,4725.0,0.0,2009,2
229,0,43.3,14.0,208.0,4575.0,0.0,2009,2
230,0,49.1,14.8,220.0,5150.0,0.0,2008,2
231,0,48.4,14.4,203.0,4625.0,0.0,2009,2
232,2,39.0,17.1,191.0,3050.0,0.0,2009,0
233,2,34.6,21.1,198.0,4400.0,1.0,2007,0
234,0,48.4,14.6,213.0,5850.0,1.0,2007,2
235,1,44.1,19.7,196.0,4400.0,1.0,2007,0
236,1,40.9,18.9,184.0,3900.0,1.0,2007,0
237,1,49.7,18.6,195.0,3600.0,1.0,2008,1
238,0,49.0,16.1,216.0,5550.0,1.0,2007,2
239,0,53.4,15.8,219.0,5500.0,1.0,2009,2
240,1,36.6,18.4,184.0,3475.0,0.0,2009,0
241,1,42.5,17.3,187.0,3350.0,0.0,2009,1
242,1,50.7,19.7,203.0,4050.0,1.0,2009,1
243,1,52.0,20.7,210.0,4800.0,1.0,2008,1
244,0,46.5,14.4,217.0,4900.0,0.0,2008,2
245,1,50.3,20.0,197.0,3300.0,1.0,2007,1
246,2,41.8,19.4,198.0,4450.0,1.0,2008,0
247,1,36.9,18.6,189.0,3500.0,0.0,2008,0
248,0,37.8,18.3,174.0,3400.0,0.0,2007,0
249,1,40.2,17.1,193.0,3400.0,0.0,2009,0
250,0,48.7,15.7,208.0,5350.0,1.0,2008,2
251,1,49.3,19.9,203.0,4050.0,1.0,2009,1
252,1,49.2,18.2,195.0,4400.0,1.0,2007,1
253,0,45.2,14.8,212.0,5200.0,0.0,2009,2
254,1,46.2,17.5,187.0,3650.0,0.0,2008,1
255,0,44.9,13.8,212.0,4750.0,0.0,2009,2
256,1,41.1,17.5,190.0,3900.0,1.0,2009,0
258,0,49.3,15.7,217.0,5850.0,1.0,2007,2
259,1,52.2,18.8,197.0,3450.0,1.0,2009,1
260,0,51.5,16.3,230.0,5500.0,1.0,2009,2
261,2,39.5,17.4,186.0,3800.0,0.0,2007,0
262,0,46.4,15.0,216.0,4700.0,0.0,2008,2
263,0,46.5,14.5,213.0,4400.0,0.0,2007,2
264,1,39.8,19.1,184.0,4650.0,1.0,2007,0
265,0,40.5,17.9,187.0,3200.0,0.0,2007,0
266,0,47.5,14.0,212.0,4875.0,0.0,2009,2
267,0,50.0,15.9,224.0,5350.0,1.0,2009,2
268,2,38.6,17.0,188.0,2900.0,0.0,2009,0
269,0,46.5,13.5,210.0,4550.0,0.0,2007,2
270,0,49.2,15.2,221.0,6300.0,1.0,2007,2
271,2,37.2,19.4,184.0,3900.0,1.0,2008,0
272,0,47.5,14.2,209.0,4600.0,0.0,2008,2
273,2,39.7,18.4,190.0,3900.0,1.0,2008,0
274,1,45.6,19.4,194.0,3525.0,0.0,2009,1
275,2,37.3,20.5,199.0,3775.0,1.0,2009,0
276,1,54.2,20.8,201.0,4300.0,1.0,2008,1
277,0,59.6,17.0,230.0,6050.0,1.0,2007,2
278,0,37.9,18.6,172.0,3150.0,0.0,2007,0
279,1,52.8,20.0,205.0,4550.0,1.0,2008,1
280,0,47.8,15.0,215.0,5650.0,1.0,2007,2
281,1,32.1,15.5,188.0,3050.0,0.0,2009,0
282,0,50.4,15.3,224.0,5550.0,1.0,2008,2
283,0,43.5,15.2,213.0,4650.0,0.0,2009,2
284,0,35.7,16.9,185.0,3150.0,0.0,2008,0
285,0,45.1,14.5,215.0,5000.0,0.0,2007,2
286,2,36.7,18.8,187.0,3800.0,0.0,2008,0
287,1,41.1,18.1,205.0,4300.0,1.0,2008,0
288,1,36.3,19.5,190.0,3800.0,1.0,2008,0
289,2,43.1,19.2,197.0,3500.0,1.0,2009,0
290,0,46.8,16.1,215.0,5500.0,1.0,2009,2
291,0,50.4,15.7,222.0,5750.0,1.0,2009,2
292,1,45.2,16.6,191.0,3250.0,0.0,2009,1
293,1,46.0,18.9,195.0,4150.0,0.0,2007,1
294,1,37.3,16.8,192.0,3000.0,0.0,2009,0
295,0,48.5,14.1,220.0,5300.0,1.0,2008,2
296,0,46.2,14.5,209.0,4800.0,0.0,2007,2
297,0,47.7,15.0,216.0,4750.0,0.0,2008,2
298,1,37.5,18.5,199.0,4475.0,1.0,2009,0
299,2,36.6,17.8,185.0,3700.0,0.0,2007,0
300,1,37.8,18.1,193.0,3750.0,1.0,2009,0
301,0,43.5,14.2,220.0,4700.0,0.0,2008,2
302,1,36.0,17.9,190.0,3450.0,0.0,2007,0
303,1,36.8,18.5,193.0,3500.0,0.0,2009,0
304,1,45.7,17.0,195.0,3650.0,0.0,2009,1
305,0,37.8,20.0,190.0,4250.0,1.0,2009,0
306,1,51.3,18.2,197.0,3750.0,1.0,2007,1
307,1,55.8,19.8,207.0,4000.0,1.0,2009,1
308,2,34.6,17.2,189.0,3200.0,0.0,2008,0
309,0,42.6,13.7,213.0,4950.0,0.0,2008,2
310,0,38.8,17.2,180.0,3800.0,1.0,2007,0
311,2,42.8,18.5,195.0,4250.0,1.0,2008,0
312,0,45.3,13.7,210.0,4300.0,0.0,2008,2
313,0,36.5,16.6,181.0,2850.0,0.0,2008,0
314,0,46.2,14.1,217.0,4375.0,0.0,2009,2
315,1,42.3,21.2,191.0,4150.0,1.0,2007,0
316,1,39.0,18.7,185.0,3650.0,1.0,2009,0
317,0,51.1,16.5,225.0,5250.0,1.0,2009,2
318,1,50.5,19.6,201.0,4050.0,1.0,2007,1
319,0,41.1,19.1,188.0,4100.0,1.0,2008,0
320,1,36.4,17.0,195.0,3325.0,0.0,2007,0
321,0,43.3,13.4,209.0,4400.0,0.0,2007,2
322,1,37.0,16.5,185.0,3400.0,0.0,2009,0
323,0,42.7,18.3,196.0,4075.0,1.0,2009,0
324,0,45.5,13.9,210.0,4200.0,0.0,2008,2
325,1,34.0,17.1,185.0,3400.0,0.0,2008,0
326,2,42.9,17.6,196.0,4700.0,1.0,2008,0
327,0,48.4,16.3,220.0,5400.0,1.0,2008,2
328,1,46.9,16.6,192.0,2700.0,0.0,2008,1
329,0,46.5,14.8,217.0,5200.0,0.0,2008,2
330,1,46.4,18.6,190.0,3450.0,0.0,2007,1
331,1,40.3,18.5,196.0,4350.0,1.0,2008,0
332,1,46.4,17.8,191.0,3700.0,0.0,2008,1
333,0,37.9,18.6,193.0,2925.0,0.0,2009,0
334,0,46.4,15.6,221.0,5000.0,1.0,2008,2
335,0,52.2,17.1,228.0,5400.0,1.0,2009,2
336,0,42.9,13.1,215.0,5000.0,0.0,2007,2
337,0,35.3,18.9,187.0,3800.0,0.0,2007,0
338,1,40.9,16.6,187.0,3200.0,0.0,2008,1
339,0,45.8,14.6,210.0,4200.0,0.0,2007,2
340,0,45.0,15.4,220.0,5050.0,1.0,2008,2
341,1,39.7,17.9,193.0,4250.0,1.0,2009,0
342,0,43.8,13.9,208.0,4300.0,0.0,2008,2
343,0,43.6,13.9,217.0,4900.0,0.0,2008,2
