instant,surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,target
75,2,1,35,0,40,2,4,2,0,3,3,0,0,2,24,0,0,26,24,2,11,2,1
76,2,0,14,22,7,2,4,4,1,4,3,4,0,2,24,2,0,13,45,0,44,3,1
77,1,0,25,31,7,4,0,4,1,1,2,2,1,3,24,4,4,9,64,0,44,3,0
78,2,0,40,54,40,2,4,6,3,2,3,1,2,0,24,1,1,24,17,0,44,1,1
79,2,0,13,52,6,3,4,3,0,4,1,4,3,1,9,0,2,47,75,3,44,3,1
80,2,0,3,53,18,2,4,5,1,5,3,4,0,2,24,1,2,25,31,3,24,1,1
81,2,0,11,23,40,0,4,4,1,3,3,4,2,3,24,2,1,12,84,3,11,3,1
82,2,1,19,0,34,2,3,1,1,4,1,2,0,2,24,4,0,12,15,0,44,3,1
83,2,0,18,54,11,2,4,3,0,2,0,3,1,3,24,0,0,46,55,0,44,1,1
84,2,0,16,35,34,3,4,1,0,3,3,1,0,0,12,1,0,18,7,2,44,3,1
85,1,0,18,32,15,4,4,6,3,4,2,4,3,0,24,0,2,23,29,0,44,3,0
86,2,0,40,49,20,2,4,5,0,2,1,1,2,2,24,1,1,28,54,3,5,1,1
88,1,0,28,36,20,3,3,2,1,4,3,4,3,3,24,2,3,20,52,2,14,3,0
89,1,0,21,24,0,3,3,4,1,1,2,2,0,2,24,0,0,15,38,0,44,3,0
90,1,0,18,31,5,0,0,0,2,3,0,0,0,1,0,4,4,31,80,0,44,3,1
91,1,0,38,5,19,2,4,4,0,3,3,1,3,3,19,4,1,35,67,3,30,1,1
92,1,0,26,30,7,2,3,4,1,1,2,2,3,3,24,2,4,20,29,0,44,3,0
93,1,0,40,54,40,2,4,4,1,2,3,1,1,3,24,1,1,15,32,0,44,1,1
95,2,0,11,28,7,0,3,1,1,4,3,1,3,3,24,2,1,19,46,0,44,3,1
97,2,0,19,49,16,2,4,5,1,3,3,1,0,1,0,1,1,33,37,0,44,2,0
98,1,0,15,25,20,4,3,6,1,1,3,4,1,3,24,4,1,19,37,0,44,3,0
99,1,0,34,2,25,2,4,3,0,3,1,1,1,0,24,2,1,37,66,2,16,3,0
100,2,0,20,23,5,2,4,4,1,1,3,0,0,2,24,4,4,10,43,0,44,3,0
101,2,0,40,35,7,1,4,5,0,2,1,0,0,3,24,1,1,54,84,0,44,2,1
102,1,0,21,23,5,2,0,4,1,3,0,0,0,2,24,0,0,13,24,0,44,3,0
103,2,1,18,13,30,3,3,4,1,4,3,4,0,2,24,3,4,16,13,0,44,3,1
104,2,0,16,31,11,3,4,6,1,5,1,2,3,1,13,3,1,26,33,1,25,1,1
105,2,0,40,40,19,3,0,6,0,3,3,4,3,2,24,1,1,12,50,0,44,3,1
107,1,0,11,30,16,3,3,6,1,1,3,4,0,2,24,4,0,22,47,0,44,3,0
108,2,0,25,35,16,1,4,1,0,5,1,3,0,2,24,1,1,31,41,3,11,2,1
109,2,1,22,47,20,2,4,1,1,4,3,1,1,3,24,0,0,12,33,2,17,1,1
110,2,0,40,40,5,2,1,2,0,3,3,4,3,3,24,1,1,39,52,0,44,1,1
111,2,0,21,23,5,2,0,0,1,1,3,4,0,2,24,0,0,15,25,1,11,3,1
112,2,0,40,23,40,4,3,4,1,1,3,2,1,3,24,0,1,16,23,0,44,3,1
114,2,0,22,25,11,2,0,5,2,2,1,1,3,3,24,1,1,28,64,0,44,3,1
115,1,0,40,54,20,2,3,4,1,4,3,4,0,2,24,0,0,23,57,0,44,3,0
116,2,0,18,25,1,3,3,4,1,4,3,1,3,3,24,1,1,20,42,0,44,3,1
117,1,0,33,54,40,2,4,5,0,4,1,1,0,1,12,1,1,54,34,1,44,2,1
118,2,0,4,44,15,3,0,4,1,2,3,2,0,3,24,0,0,10,62,2,2,3,1
119,1,0,19,34,7,4,3,1,1,1,3,2,1,3,24,0,0,24,57,0,44,3,0
120,2,0,32,32,29,3,3,1,1,3,3,4,1,3,24,2,2,16,27,2,44,3,1
121,2,0,21,45,20,0,0,3,0,5,3,2,0,0,24,4,2,45,0,2,2,2,1
122,1,0,25,23,14,4,3,4,1,4,2,2,0,2,24,4,0,16,39,1,2,3,0
123,2,0,20,36,11,3,3,6,1,5,1,1,3,3,24,1,2,23,52,1,11,1,1
124,1,0,14,28,7,2,3,5,1,1,2,1,3,3,24,4,4,13,14,0,44,2,1
125,2,0,18,24,30,1,3,4,1,4,3,4,3,0,24,1,2,19,53,0,44,3,1
126,2,0,25,54,40,2,3,6,1,2,1,4,0,2,24,0,0,9,32,2,44,3,1
127,2,0,12,30,16,2,4,0,1,5,1,2,3,3,24,4,0,23,56,2,2,3,1
128,2,0,12,47,7,0,0,6,1,3,3,1,0,2,24,0,0,6,38,0,2,2,0
131,1,0,14,49,19,2,3,4,1,4,3,4,1,1,1,0,0,22,27,0,44,1,1
133,1,0,17,23,11,3,3,4,1,3,3,2,0,2,24,0,3,18,15,0,44,3,1
134,2,0,40,0,40,2,0,5,0,2,1,0,3,2,24,3,0,37,30,0,44,1,1
135,2,1,19,12,23,2,4,6,1,2,2,1,3,0,7,3,0,9,10,2,18,1,1
136,2,0,40,54,40,2,4,6,0,2,3,1,2,0,24,1,1,24,17,0,44,1,1
137,2,0,18,28,40,3,3,4,1,1,4,3,3,0,24,1,1,54,84,0,44,3,1
138,1,0,18,34,40,3,2,6,1,1,2,2,1,3,24,4,4,20,58,0,44,3,0
139,1,0,18,35,16,3,3,0,1,4,3,0,1,3,24,0,0,28,47,1,2,3,0
140,2,0,19,25,37,2,3,4,1,3,4,2,1,3,24,1,1,6,50,0,44,3,0
142,2,0,40,6,40,1,4,3,0,2,1,3,0,2,24,1,1,35,7,3,26,1,1
143,2,0,16,28,14,3,3,4,0,1,4,2,3,2,24,4,4,24,17,2,41,3,0
144,2,0,9,47,20,2,4,3,1,3,1,3,2,0,2,1,1,53,77,0,44,2,0
145,1,0,40,45,16,2,4,1,1,3,3,1,3,3,24,2,0,28,76,0,44,3,1
146,2,0,20,28,40,3,4,6,1,4,1,3,1,1,2,1,1,20,58,0,44,3,1
147,1,0,18,25,1,4,3,6,1,4,1,1,1,0,18,4,2,9,32,0,44,1,1
148,2,0,21,11,40,0,4,3,0,3,1,4,3,1,17,1,2,35,66,0,35,3,1
149,1,0,25,28,11,0,0,0,2,1,2,0,1,3,24,4,0,10,40,0,44,3,0
150,1,0,27,25,3,2,3,4,1,3,3,4,0,2,24,0,5,9,41,0,44,3,0
151,2,0,31,54,40,1,4,3,0,5,1,4,1,1,5,1,2,53,84,3,28,1,1
153,1,0,24,28,7,2,3,4,1,1,3,4,3,3,24,2,5,28,50,1,44,3,0
154,1,0,26,28,20,3,3,6,1,4,3,3,3,2,24,0,1,19,42,0,44,3,1
155,1,0,18,28,7,2,4,5,1,1,1,4,3,2,9,0,5,27,69,1,44,3,0
156,1,0,24,31,7,3,3,4,1,4,3,4,1,3,24,4,3,12,33,1,34,3,0
158,1,0,18,24,20,2,3,4,1,4,3,2,0,2,24,0,0,54,84,0,44,3,0
159,1,0,40,54,1,3,3,1,1,3,2,4,2,3,24,4,3,22,52,2,44,3,0
160,2,0,40,54,40,0,0,0,2,5,0,0,1,3,24,0,1,11,25,2,2,3,1
162,1,0,33,35,0,2,0,0,0,4,3,4,3,3,24,2,0,15,23,1,44,3,0
163,2,0,18,38,7,3,4,6,1,2,3,2,1,3,24,2,0,24,11,3,11,2,1
164,2,0,25,43,40,3,3,2,0,4,3,4,3,0,24,1,2,28,66,0,44,3,1
166,2,0,21,23,6,3,3,4,1,4,2,2,0,2,24,3,4,21,17,1,44,3,0
167,1,0,40,25,11,3,3,4,1,4,3,2,3,3,24,0,4,54,30,0,44,3,0
168,2,0,22,1,20,3,3,6,1,3,1,4,3,1,18,0,2,33,71,0,44,3,1
169,2,0,40,37,11,0,0,0,0,2,0,3,2,3,24,0,1,54,84,0,44,2,1
171,1,0,28,48,5,2,4,2,2,4,3,1,0,0,24,0,0,46,16,3,38,1,1
172,2,0,23,9,23,2,4,6,1,3,1,1,1,1,2,0,0,35,43,3,11,3,1
173,2,0,40,1,40,2,4,2,0,3,1,1,0,1,24,1,2,47,72,2,23,1,1
174,1,0,40,54,40,2,1,3,2,5,0,3,0,2,24,0,0,54,84,0,44,1,1
176,2,0,20,35,15,3,3,6,1,4,3,2,3,3,24,2,5,26,43,0,44,3,1
177,2,0,40,39,3,0,0,5,1,5,0,0,0,3,6,0,0,54,84,2,17,1,1
178,2,0,40,35,15,2,4,5,0,2,1,3,1,3,24,1,0,23,57,3,11,3,1
179,1,0,23,0,40,2,4,2,0,5,3,3,3,3,24,1,1,54,84,0,44,2,0
180,2,0,22,47,15,2,3,2,0,5,3,1,3,1,18,1,2,25,52,3,44,1,1
181,1,0,16,28,3,0,0,4,1,4,0,4,1,1,10,4,0,11,52,0,44,3,0
182,2,0,18,54,11,2,4,3,0,2,0,3,1,3,24,0,0,46,55,0,44,1,1
183,1,0,16,34,5,3,3,1,1,3,2,2,3,3,24,4,0,22,45,1,2,3,0
184,1,0,20,39,16,4,2,1,1,1,2,2,2,3,24,4,4,21,42,0,44,3,0
187,2,0,22,45,15,1,4,4,1,4,3,1,2,1,24,1,1,8,28,3,28,3,1
189,2,0,21,35,5,2,3,4,1,3,2,2,3,0,3,4,2,5,27,1,19,3,1
190,2,0,9,23,33,0,3,5,1,4,3,2,1,3,24,2,3,0,34,3,44,3,1
191,1,1,40,0,22,4,3,4,1,5,2,2,0,2,24,4,0,13,9,0,44,3,0
192,2,0,20,28,6,3,3,4,1,4,3,1,1,0,24,1,0,26,61,1,11,3,1
193,2,0,40,35,23,2,4,5,0,5,3,3,0,2,24,0,0,36,53,0,44,1,1
194,1,0,17,49,11,3,3,1,1,3,4,2,0,2,24,1,4,13,23,0,44,3,0
196,1,0,23,35,7,3,3,2,0,3,4,2,3,3,24,3,3,41,52,2,14,2,0
197,1,0,23,52,19,2,4,0,0,3,1,4,1,0,24,1,1,48,71,0,44,1,1
198,1,0,21,35,7,3,3,4,0,1,3,2,0,2,24,2,0,10,43,0,44,3,0
199,1,0,23,35,20,2,3,1,1,3,2,4,0,2,24,2,5,27,26,0,44,3,0
200,2,0,11,28,1,3,0,6,1,4,2,1,3,3,24,2,3,18,33,2,44,3,1
201,2,0,23,48,40,3,3,6,1,5,1,1,3,3,24,2,1,23,51,1,23,1,1
203,1,0,10,21,37,3,3,4,1,3,3,2,3,3,24,1,4,11,15,0,44,3,0
204,2,0,30,54,10,2,3,6,1,5,1,4,3,2,24,0,0,12,33,1,19,3,1
205,1,0,23,0,40,2,4,2,0,5,3,3,3,3,24,1,1,54,84,0,44,2,0
206,2,0,23,52,15,4,4,5,0,5,1,1,3,3,24,2,1,28,42,0,44,3,1
209,1,0,13,25,0,2,3,4,1,4,2,4,3,2,24,2,3,21,19,1,2,3,0
210,2,0,17,39,7,0,3,1,1,3,1,4,0,2,24,4,1,23,6,3,17,1,1
211,2,0,18,48,11,1,4,5,1,3,1,3,1,3,24,1,1,23,14,1,10,1,1
212,2,1,27,6,15,3,4,1,0,4,3,1,2,3,3,0,0,25,30,1,44,3,0
214,1,0,24,34,16,4,3,4,1,1,2,2,3,2,24,3,0,18,47,2,12,3,0
215,2,0,16,23,1,3,3,4,1,1,4,2,3,3,24,4,5,15,47,0,44,3,1
218,2,0,19,23,19,3,2,1,1,3,4,0,0,2,24,0,0,54,84,0,44,2,1
219,2,0,40,31,14,2,4,5,1,4,1,1,3,3,24,1,2,13,67,0,44,3,1
220,2,0,30,49,27,1,1,0,0,2,1,0,0,2,24,0,0,54,84,2,11,2,0
221,2,0,23,51,20,1,4,0,1,3,1,1,0,2,24,1,0,24,44,2,11,3,1
222,2,0,40,4,2,1,1,5,1,3,3,2,3,3,8,1,2,39,30,3,44,3,1
223,2,0,15,38,1,3,3,6,1,4,3,4,3,2,24,1,2,7,29,2,7,3,1
224,2,0,26,30,3,3,3,4,1,4,2,2,1,3,24,2,1,15,25,0,44,3,1
225,1,0,22,32,11,3,3,4,1,1,3,2,3,3,24,2,5,27,49,1,43,3,0
226,2,0,30,6,7,1,4,2,0,3,3,1,1,1,24,0,2,39,74,3,44,1,1
228,2,0,11,50,20,2,0,3,0,2,1,1,3,0,24,4,1,43,18,3,11,2,1
230,2,0,23,1,20,2,4,0,1,5,3,3,0,2,24,0,0,54,84,0,44,3,1
231,1,0,33,51,14,2,4,3,1,2,1,2,0,1,24,1,0,50,31,0,24,1,0
233,2,0,21,41,15,1,4,6,0,4,3,1,3,3,24,2,1,21,47,2,26,3,1
235,2,0,19,31,11,3,3,2,1,5,3,2,3,1,19,4,0,32,52,2,16,1,1
236,1,0,20,24,13,3,3,4,1,4,2,4,0,2,24,4,0,12,36,0,44,3,0
237,1,0,17,32,21,4,3,2,1,4,2,2,0,3,24,0,5,25,21,3,2,3,0
238,1,0,2,49,40,2,4,6,1,4,3,4,3,1,24,0,2,23,47,3,33,2,1
239,2,0,19,40,9,0,3,0,1,2,3,0,0,2,24,0,1,12,42,0,44,2,1
240,2,0,18,50,15,1,4,5,0,2,1,3,0,2,24,1,1,33,28,0,44,1,1
241,2,0,20,31,5,3,3,1,1,1,4,2,1,3,24,4,0,21,67,0,44,3,0
242,2,0,40,21,16,3,3,5,1,2,3,1,3,1,5,0,2,19,17,0,44,1,1
244,2,1,20,7,36,3,4,1,1,3,3,3,0,2,24,0,0,25,66,1,44,3,1
245,1,0,40,52,40,2,4,6,0,2,1,3,0,3,24,1,1,39,84,0,44,1,1
246,2,0,14,39,16,2,0,6,1,5,4,3,3,0,18,4,1,25,49,1,44,3,1
247,2,0,19,49,11,2,4,5,1,2,1,1,3,3,24,2,2,19,8,0,44,1,1
248,2,0,18,2,28,4,4,5,1,5,3,1,3,2,24,2,2,54,84,3,44,3,1
249,1,0,20,28,40,4,0,4,0,4,3,2,3,3,24,0,5,10,33,0,44,3,0
250,2,0,31,0,25,1,1,3,1,3,1,2,1,1,2,0,2,44,2,3,11,2,1
251,1,0,5,24,6,2,4,1,1,1,1,2,1,3,24,0,1,30,48,0,44,1,1
252,2,1,26,7,19,2,3,1,1,3,3,3,1,3,24,1,2,28,53,3,44,1,1
253,1,0,40,4,11,2,4,5,0,2,1,4,0,2,24,1,0,18,13,3,16,3,0
254,2,0,40,45,40,2,4,6,1,5,1,3,0,2,24,1,1,21,57,0,44,3,1
255,2,1,26,18,35,3,0,4,1,5,2,1,0,2,24,3,0,9,3,0,44,1,1
256,2,0,13,41,40,4,3,4,1,3,2,2,1,3,24,4,0,11,42,2,11,2,1
258,1,0,13,31,1,3,3,4,1,3,3,4,3,3,24,2,1,12,38,1,2,3,0
259,2,0,39,41,21,2,4,4,1,3,3,2,3,3,24,0,0,32,51,3,44,1,1
260,1,0,18,23,12,0,3,4,1,5,3,4,1,3,24,1,0,13,46,0,44,3,0
261,1,0,22,28,5,4,3,4,1,1,0,4,3,3,24,0,5,16,32,0,44,3,0
263,2,0,9,42,19,0,0,6,0,5,1,4,3,1,9,1,2,26,51,3,21,1,1
264,2,0,21,25,8,2,3,1,1,4,3,1,3,3,24,4,1,22,32,2,29,3,1
265,1,0,40,34,30,2,3,4,1,4,3,2,3,3,24,4,0,18,27,0,44,2,1
266,1,0,24,39,7,4,3,6,1,4,3,4,1,3,24,4,1,15,32,1,44,3,0
267,1,0,21,32,6,2,3,1,1,3,3,4,0,1,11,0,2,22,49,3,44,3,0
270,2,0,13,35,24,2,4,4,1,4,3,4,3,0,4,2,2,11,32,0,44,1,1
271,2,0,15,45,40,2,4,3,1,2,1,2,3,1,24,2,4,28,22,3,11,3,1
272,2,0,40,0,15,2,4,5,0,2,1,3,2,1,24,1,2,30,33,0,44,3,1
273,2,0,15,6,14,2,4,6,1,2,3,1,1,3,24,0,0,43,47,3,44,1,1
275,2,1,26,15,24,3,4,3,0,2,3,4,1,3,24,0,0,28,29,0,44,1,1
276,2,0,18,21,5,2,3,4,1,5,4,4,2,1,2,2,0,13,62,2,2,2,0
277,1,0,7,30,20,4,4,6,1,1,3,4,2,3,19,0,0,14,32,0,44,3,0
278,1,0,16,23,5,3,3,4,1,1,2,2,0,2,24,4,4,13,35,0,44,3,0
279,1,0,20,34,20,1,4,4,1,3,1,1,3,0,21,0,0,25,49,1,15,3,0
280,2,0,24,28,1,0,0,4,2,1,2,0,0,2,24,0,0,12,44,0,44,3,0
281,1,0,37,44,40,2,4,2,1,3,3,2,1,3,24,1,4,44,32,0,44,1,1
282,2,0,40,40,5,2,1,2,0,3,3,4,3,3,24,1,1,39,52,0,44,1,1
284,1,0,23,32,40,3,3,4,1,4,2,2,3,3,24,4,0,18,35,2,41,3,0
285,2,0,23,38,11,3,3,4,1,4,3,2,3,3,24,1,1,18,34,1,44,3,1
286,1,0,16,46,1,2,3,4,0,5,0,1,1,1,24,0,0,28,47,0,44,2,1
289,2,0,18,30,19,0,3,4,1,4,4,4,0,2,24,2,0,16,33,1,36,3,1
290,1,0,24,26,5,4,3,1,1,1,2,0,0,2,24,4,4,21,25,0,44,3,0
291,2,0,27,45,22,2,4,6,1,3,3,1,3,0,19,2,4,32,32,3,44,1,1
292,2,0,8,38,7,3,4,1,1,5,3,1,1,2,24,4,1,11,36,2,44,1,1
294,1,0,23,23,5,3,3,4,1,3,2,2,0,2,24,2,5,13,44,0,44,3,0
295,2,0,40,6,31,1,0,5,0,3,1,0,0,2,24,0,1,33,42,0,44,2,0
296,1,0,10,41,11,2,2,5,0,5,3,1,2,3,24,1,2,22,84,3,22,2,1
297,2,0,13,41,15,1,4,5,1,5,1,1,3,3,24,2,1,39,35,0,44,1,1
298,2,0,4,0,11,2,4,6,1,4,3,1,2,3,24,1,2,28,27,3,23,3,1
300,1,0,23,32,7,0,3,1,0,4,1,2,3,0,15,0,5,20,30,0,44,3,0
302,2,0,15,25,14,0,1,6,0,2,1,3,1,3,24,2,1,23,57,3,11,3,1
303,2,0,8,34,11,2,3,5,0,5,1,1,1,3,24,0,0,11,38,3,11,2,0
304,1,0,18,24,1,2,0,6,1,1,0,2,0,2,24,0,5,13,16,0,44,3,0
306,1,0,22,45,28,2,2,1,1,4,4,2,3,0,24,4,4,32,36,0,44,3,0
307,1,0,16,28,1,4,3,1,1,4,0,2,3,2,24,3,0,26,50,1,44,3,0
309,1,0,17,26,19,2,4,6,0,3,3,2,3,3,24,2,0,9,15,3,44,3,1
310,1,0,28,47,1,2,3,2,1,3,1,4,1,0,19,0,2,40,17,2,13,1,1
311,1,0,20,35,11,2,3,6,0,4,3,4,2,1,24,1,2,31,52,2,5,3,0
312,2,0,40,13,40,0,0,5,0,2,1,3,1,3,24,0,1,5,46,0,44,1,0
313,2,0,17,6,28,2,4,6,1,2,1,3,3,0,21,1,1,30,33,3,8,1,1
314,1,0,18,41,19,3,3,6,1,4,0,4,3,3,24,2,1,15,35,2,11,3,0
315,1,1,18,51,14,3,3,1,1,1,3,4,2,2,20,0,0,13,28,1,3,3,0
316,2,0,21,38,15,4,4,4,1,3,1,1,2,0,23,1,1,13,27,0,44,3,1
317,1,0,13,28,11,2,3,4,1,3,2,0,1,3,24,2,5,21,27,1,17,3,0
318,2,0,13,49,7,4,4,6,1,5,3,1,0,2,24,0,0,11,31,1,44,1,1
319,1,1,40,15,28,1,1,5,0,2,1,3,0,2,24,0,0,54,84,0,44,1,1
320,2,0,35,0,15,0,0,3,0,5,1,1,1,2,24,1,1,43,62,0,44,2,1
321,2,0,21,45,40,2,4,5,0,2,1,1,3,3,24,1,2,23,52,2,31,3,1
322,1,0,13,23,16,2,3,6,1,4,4,1,3,3,24,0,1,8,31,1,3,3,1
323,2,0,22,47,15,2,3,2,0,5,3,1,3,1,18,1,2,25,52,3,44,1,1
324,2,0,19,47,22,1,0,5,0,2,3,2,1,1,9,0,2,39,35,0,37,1,1
325,1,0,25,31,40,3,3,4,1,1,3,2,0,2,24,4,3,17,61,0,44,3,0
326,1,0,19,25,20,4,3,6,1,4,3,2,0,2,24,4,3,11,35,0,44,3,0
327,1,0,22,31,7,4,3,6,1,1,3,4,3,3,24,2,1,19,40,1,2,3,0
328,2,0,20,35,40,3,0,6,1,3,2,2,1,3,24,1,2,21,29,2,26,3,1
329,1,0,15,23,6,3,3,4,2,4,4,2,1,3,24,2,3,12,4,0,44,3,0
330,2,0,29,35,0,0,3,4,2,3,3,0,0,2,24,1,2,54,84,0,44,3,1
332,2,0,28,6,40,1,4,2,0,3,1,1,3,1,22,0,0,43,68,3,31,3,0
333,2,0,20,43,40,4,4,1,1,2,3,1,1,0,16,4,1,11,32,2,1,3,1
336,2,0,40,54,40,2,3,4,1,3,3,1,1,1,16,1,2,54,84,2,44,1,1
337,2,0,14,23,40,3,3,4,1,1,2,2,0,2,24,4,4,54,84,2,12,3,1
338,1,0,13,25,40,3,3,4,1,4,3,4,0,2,24,0,0,23,16,2,5,3,0
339,1,0,20,24,5,3,3,6,1,1,3,2,0,2,24,4,0,11,37,1,2,3,0
341,1,0,21,26,7,2,4,1,0,3,1,2,3,2,24,1,0,54,84,0,44,3,0
343,2,0,15,33,14,4,3,1,1,3,3,1,0,1,9,1,1,54,84,0,44,3,1
344,1,0,1,0,7,1,4,3,0,3,1,1,1,3,24,1,1,52,15,2,15,2,1
345,2,0,9,35,7,4,0,5,1,4,0,1,0,0,9,2,2,42,71,2,44,3,1
346,1,0,9,5,20,2,0,6,0,3,4,2,0,2,24,0,3,8,84,3,39,3,0
347,2,0,19,41,15,2,4,6,1,5,1,1,3,3,24,2,1,13,23,3,2,3,1
