instant,Day.Of.Week,Month,Day,Returning.Visits,target
257,5,5,28,622,5219
258,6,5,29,466,4017
259,7,5,30,283,2297
260,1,5,31,366,3145
261,2,6,1,622,4905
262,3,6,2,583,4747
263,4,6,3,604,4591
264,5,6,4,521,4431
265,6,6,5,455,3608
266,7,6,6,337,2422
267,1,6,7,355,3132
268,2,6,8,589,4962
269,3,6,9,607,4881
270,4,6,10,639,5001
271,5,6,11,628,4635
272,6,6,12,428,3545
273,7,6,13,255,2262
274,1,6,14,342,2866
275,2,6,15,579,4692
276,3,6,16,544,4602
277,4,6,17,545,4620
278,5,6,18,569,4475
279,6,6,19,468,3564
280,7,6,20,241,2071
281,1,6,21,317,2659
282,2,6,22,553,4338
283,3,6,23,573,4531
284,4,6,24,541,4498
285,5,6,25,520,4128
286,6,6,26,432,3132
287,7,6,27,197,1829
288,1,6,28,293,2149
289,2,6,29,522,3975
290,3,6,30,538,4046
291,4,7,1,479,3897
292,5,7,2,468,3871
293,6,7,3,363,2630
294,7,7,4,204,1602
295,1,7,5,229,1960
296,2,7,6,484,4143
297,3,7,7,523,4205
298,4,7,8,528,4193
299,5,7,9,467,3710
300,6,7,10,436,3137
301,7,7,11,201,1834
302,1,7,12,276,2070
303,2,7,13,542,4180
304,3,7,14,505,4038
305,4,7,15,548,3906
306,5,7,16,484,3580
307,6,7,17,362,2948
308,7,7,18,197,1622
309,1,7,19,266,2179
310,2,7,20,469,3906
311,3,7,21,525,3745
312,4,7,22,556,4212
313,5,7,23,500,3901
314,6,7,24,422,3292
315,7,7,25,213,1819
316,1,7,26,276,2068
317,2,7,27,562,3991
318,3,7,28,501,4073
319,4,7,29,501,4069
320,5,7,30,503,3716
321,6,7,31,411,3380
322,7,8,1,239,1737
323,1,8,2,285,2181
324,2,8,3,531,3973
325,3,8,4,525,3997
326,4,8,5,511,4132
327,5,8,6,489,3791
328,6,8,7,401,2968
329,7,8,8,245,1752
330,1,8,9,266,2070
331,2,8,10,545,3920
332,3,8,11,525,4106
333,4,8,12,560,4006
334,5,8,13,506,3827
335,6,8,14,409,2944
336,7,8,15,239,1827
337,1,8,16,289,2373
338,2,8,17,473,4031
339,3,8,18,532,4027
340,4,8,19,504,3912
341,5,8,20,524,3867
342,6,8,21,432,3304
343,7,8,22,197,1685
344,1,8,23,260,2130
345,2,8,24,515,3936
346,3,8,25,541,4029
347,4,8,26,552,4010
348,5,8,27,498,4027
349,6,8,28,415,2829
350,7,8,29,204,1736
351,1,8,30,270,2517
352,2,8,31,470,4029
353,3,9,1,532,4261
354,4,9,2,481,4058
355,5,9,3,541,4392
356,6,9,4,375,3072
357,7,9,5,216,1799
358,1,9,6,266,2341
359,2,9,7,391,3330
360,3,9,8,548,4734
361,4,9,9,536,4801
362,5,9,10,504,4399
363,6,9,11,417,3275
364,7,9,12,206,2042
365,1,9,13,259,2827
366,2,9,14,483,4836
367,3,9,15,521,4840
368,4,9,16,454,4504
369,5,9,17,504,4379
370,6,9,18,404,3391
371,7,9,19,235,2045
372,1,9,20,264,2721
373,2,9,21,537,4630
374,3,9,22,536,4748
375,4,9,23,484,4702
376,5,9,24,482,4440
377,6,9,25,402,3513
378,7,9,26,238,2253
379,1,9,27,311,3141
380,2,9,28,519,5122
381,3,9,29,563,5151
382,4,9,30,521,4969
383,5,10,1,489,4619
384,6,10,2,402,3443
385,7,10,3,251,2302
386,1,10,4,333,3291
387,2,10,5,567,5206
388,3,10,6,603,5474
389,4,10,7,584,5400
390,5,10,8,577,5334
391,6,10,9,475,4174
392,7,10,10,256,2571
393,1,10,11,353,3572
394,2,10,12,547,5018
395,3,10,13,623,5565
396,4,10,14,645,5420
397,5,10,15,577,5366
398,6,10,16,495,4091
399,7,10,17,317,2824
400,1,10,18,384,3843
401,2,10,19,649,5516
402,3,10,20,661,5572
403,4,10,21,584,5243
404,5,10,22,616,5133
405,6,10,23,506,4084
406,7,10,24,331,2739
407,1,10,25,422,3781
408,2,10,26,656,5684
409,3,10,27,645,5687
410,4,10,28,652,5906
411,5,10,29,652,5541
412,6,10,30,542,4171
413,7,10,31,324,2586
414,1,11,1,466,3838
415,2,11,2,657,5675
416,3,11,3,674,5624
417,4,11,4,646,5794
418,5,11,5,652,5389
419,6,11,6,525,4305
420,7,11,7,348,3281
421,1,11,8,419,3790
422,2,11,9,716,5894
423,3,11,10,660,5461
424,4,11,11,650,5206
425,5,11,12,648,5228
426,6,11,13,535,4097
427,7,11,14,348,2694
428,1,11,15,447,3893
429,2,11,16,678,6185
430,3,11,17,708,6178
431,4,11,18,704,6067
432,5,11,19,679,5656
433,6,11,20,528,4398
434,7,11,21,345,2836
435,1,11,22,503,3896
436,2,11,23,693,5814
437,3,11,24,665,5879
438,4,11,25,621,4800
439,5,11,26,491,3838
440,6,11,27,461,3576
441,7,11,28,322,2799
442,1,11,29,522,4228
443,2,11,30,753,6331
444,3,12,1,716,6380
445,4,12,2,790,6314
446,5,12,3,749,6160
447,6,12,4,620,4859
448,7,12,5,428,3317
449,1,12,6,578,4715
450,2,12,7,833,6940
451,3,12,8,798,6551
452,4,12,9,800,6327
453,5,12,10,748,6212
454,6,12,11,617,4687
455,7,12,12,427,3014
456,1,12,13,516,4132
457,2,12,14,724,5989
458,3,12,15,658,5331
459,4,12,16,640,5183
460,5,12,17,598,4769
461,6,12,18,447,3627
462,7,12,19,232,1857
463,1,12,20,285,2221
464,2,12,21,429,3335
465,3,12,22,408,2883
466,4,12,23,309,2353
467,5,12,24,213,1578
468,6,12,25,138,1017
469,7,12,26,176,1334
470,1,12,27,208,1690
471,2,12,28,355,2838
472,3,12,29,367,2815
473,4,12,30,326,2382
474,5,12,31,226,1587
475,6,1,1,174,1411
476,7,1,2,228,1838
477,1,1,3,283,2180
478,2,1,4,457,3587
479,3,1,5,512,3855
480,4,1,6,501,3840
481,5,1,7,488,3735
482,6,1,8,426,3223
483,7,1,9,251,2207
484,1,1,10,339,2814
485,2,1,11,532,4007
486,3,1,12,576,4119
487,4,1,13,533,4338
488,5,1,14,544,4432
489,6,1,15,483,3306
490,7,1,16,295,2223
491,1,1,17,367,2757
492,2,1,18,525,4047
493,3,1,19,624,4489
494,4,1,20,576,4588
495,5,1,21,545,4398
496,6,1,22,465,3340
497,7,1,23,301,2344
498,1,1,24,358,2973
499,2,1,25,556,4638
500,3,1,26,575,4791
501,4,1,27,571,5104
502,5,1,28,563,4621
503,6,1,29,483,3831
504,7,1,30,290,2295
505,1,1,31,412,3235
506,2,2,1,580,4918
507,3,2,2,588,5127
508,4,2,3,576,4794
509,5,2,4,572,4788
510,6,2,5,471,3948
511,7,2,6,288,2383
512,1,2,7,392,2950
513,2,2,8,568,4905
514,3,2,9,632,5353
515,4,2,10,649,5492
516,5,2,11,609,5052
517,6,2,12,507,3764
518,7,2,13,329,2458
519,1,2,14,411,3098
520,2,2,15,613,4951
521,3,2,16,696,5495
522,4,2,17,687,5505
523,5,2,18,656,5188
524,6,2,19,555,4002
525,7,2,20,351,2607
526,1,2,21,483,3906
527,2,2,22,748,6360
528,3,2,23,746,6046
529,4,2,24,810,5938
530,5,2,25,693,5325
531,6,2,26,558,4165
532,7,2,27,370,2829
533,1,2,28,517,4090
534,2,2,29,731,5734
535,3,3,1,743,6214
536,4,3,2,736,5906
537,5,3,3,772,5814
538,6,3,4,564,4507
539,7,3,5,346,2859
540,1,3,6,480,3897
541,2,3,7,737,5849
542,3,3,8,783,6264
543,4,3,9,780,6062
544,5,3,10,744,5685
545,6,3,11,614,4391
546,7,3,12,408,2880
547,1,3,13,510,3740
548,2,3,14,792,5710
549,3,3,15,731,5168
550,4,3,16,775,5577
551,5,3,17,693,5238
552,6,3,18,551,3931
553,7,3,19,324,2606
554,1,3,20,382,3149
555,2,3,21,694,5565
556,3,3,22,735,5281
557,4,3,23,634,5202
558,5,3,24,554,4581
559,6,3,25,434,3264
560,7,3,26,366,2344
561,1,3,27,421,3112
562,2,3,28,670,5051
563,3,3,29,727,5333
564,4,3,30,709,5671
565,5,3,31,681,5097
566,6,4,1,563,4555
567,7,4,2,392,2987
568,1,4,3,543,4257
569,2,4,4,790,5804
570,3,4,5,782,5885
571,4,4,6,771,6054
572,5,4,7,725,5791
573,6,4,8,610,4741
574,7,4,9,400,2946
575,1,4,10,534,4071
576,2,4,11,836,6265
577,3,4,12,857,6298
578,4,4,13,837,6495
579,5,4,14,758,5536
580,6,4,15,662,4737
581,7,4,16,471,3232
582,1,4,17,589,4201
583,2,4,18,849,6806
584,3,4,19,877,6769
585,4,4,20,898,6581
586,5,4,21,830,6254
587,6,4,22,676,5163
588,7,4,23,482,3851
589,1,4,24,625,4695
590,2,4,25,987,7098
591,3,4,26,924,7156
592,4,4,27,926,6836
593,5,4,28,832,6329
594,6,4,29,686,4990
595,7,4,30,496,3536
596,1,5,1,631,4366
597,2,5,2,877,6510
598,3,5,3,877,6855
599,4,5,4,907,6599
600,5,5,5,730,5510
601,6,5,6,606,4549
602,7,5,7,407,3064
603,1,5,8,483,3633
604,2,5,9,794,5838
605,3,5,10,755,6026
606,4,5,11,747,5780
607,5,5,12,680,5131
608,6,5,13,551,3928
609,7,5,14,378,2636
610,1,5,15,444,3278
611,2,5,16,678,4785
612,3,5,17,687,4886
613,4,5,18,685,5145
614,5,5,19,727,5849
615,6,5,20,599,4456
616,7,5,21,422,2960
617,1,5,22,522,3885
618,2,5,23,787,5857
619,3,5,24,819,6162
620,4,5,25,856,6014
621,5,5,26,734,5652
622,6,5,27,648,4793
623,7,5,28,384,2819
624,1,5,29,479,3687
625,2,5,30,698,4851
626,3,5,31,803,5775
627,4,6,1,769,5443
628,5,6,2,783,5590
629,6,6,3,675,4482
630,7,6,4,414,2792
631,1,6,5,470,3371
632,2,6,6,796,5547
633,3,6,7,728,5468
634,4,6,8,687,5104
635,5,6,9,673,4728
636,6,6,10,565,4024
637,7,6,11,329,2350
638,1,6,12,417,3234
639,2,6,13,760,4948
640,3,6,14,708,5247
641,4,6,15,747,5003
642,5,6,16,707,4816
643,6,6,17,551,4208
644,7,6,18,311,2454
645,1,6,19,413,2763
646,2,6,20,693,4954
647,3,6,21,677,4903
648,4,6,22,692,4907
649,5,6,23,667,4625
650,6,6,24,535,3497
651,7,6,25,257,1826
652,1,6,26,365,2307
653,2,6,27,645,4368
654,3,6,28,625,4233
655,4,6,29,571,4187
656,5,6,30,591,3811
657,6,7,1,496,3179
658,7,7,2,225,1615
659,1,7,3,279,1788
660,2,7,4,491,2959
661,3,7,5,605,3947
662,4,7,6,573,3841
663,5,7,7,552,3729
664,6,7,8,490,3324
665,7,7,9,269,1795
666,1,7,10,334,2373
667,2,7,11,647,4101
668,3,7,12,608,4241
669,4,7,13,611,4478
670,5,7,14,600,3961
671,6,7,15,529,3367
672,7,7,16,271,1828
673,1,7,17,317,2344
674,2,7,18,625,4415
675,3,7,19,649,4403
676,4,7,20,632,4244
677,5,7,21,673,4322
678,6,7,22,495,3456
679,7,7,23,308,2068
680,1,7,24,381,2568
681,2,7,25,692,4770
682,3,7,26,682,4621
683,4,7,27,651,4470
684,5,7,28,618,4307
685,6,7,29,548,3370
686,7,7,30,324,1960
687,1,7,31,342,2412
688,2,8,1,606,4504
689,3,8,2,639,4382
690,4,8,3,672,4710
691,5,8,4,627,4324
692,6,8,5,517,3472
693,7,8,6,258,1909
694,1,8,7,354,2365
695,2,8,8,618,4460
696,3,8,9,653,4479
697,4,8,10,657,4510
698,5,8,11,620,4340
699,6,8,12,503,3508
700,7,8,13,298,2030
701,1,8,14,350,2586
702,2,8,15,624,4476
703,3,8,16,476,3232
704,4,8,17,608,4291
705,5,8,18,599,4247
706,6,8,19,494,3477
707,7,8,20,301,2169
708,1,8,21,355,2430
709,2,8,22,643,4358
710,3,8,23,699,4465
711,4,8,24,595,4550
712,5,8,25,631,4147
713,6,8,26,532,3634
714,7,8,27,289,2014
715,1,8,28,355,2687
716,2,8,29,594,4376
717,3,8,30,604,4318
718,4,8,31,599,4441
719,5,9,1,560,4234
720,6,9,2,468,3027
721,7,9,3,275,1966
722,1,9,4,309,2446
723,2,9,5,498,3779
724,3,9,6,614,4619
725,4,9,7,659,4983
726,5,9,8,603,4645
727,6,9,9,491,3612
728,7,9,10,254,2153
729,1,9,11,329,3089
730,2,9,12,564,4580
731,3,9,13,633,4788
732,4,9,14,646,5095
733,5,9,15,594,4668
734,6,9,16,513,3711
735,7,9,17,284,2523
736,1,9,18,425,3364
737,2,9,19,729,5513
738,3,9,20,667,5362
739,4,9,21,694,5402
740,5,9,22,697,5398
741,6,9,23,529,3783
742,7,9,24,294,2395
743,1,9,25,430,3679
744,2,9,26,755,5688
745,3,9,27,737,5842
746,4,9,28,776,5923
747,5,9,29,735,5717
748,6,9,30,611,4250
749,7,10,1,330,2525
750,1,10,2,464,3923
751,2,10,3,736,5785
752,3,10,4,742,6052
753,4,10,5,774,6150
754,5,10,6,715,5591
755,6,10,7,580,4279
756,7,10,8,349,2897
757,1,10,9,499,3904
758,2,10,10,703,5458
759,3,10,11,714,5909
760,4,10,12,797,6175
761,5,10,13,841,5856
762,6,10,14,668,4610
763,7,10,15,405,3081
764,1,10,16,547,4390
765,2,10,17,899,6507
766,3,10,18,914,6941
767,4,10,19,815,6576
768,5,10,20,761,5985
769,6,10,21,657,4789
770,7,10,22,411,3263
771,1,10,23,574,4180
772,2,10,24,872,6371
773,3,10,25,890,6648
774,4,10,26,897,6501
775,5,10,27,857,6088
776,6,10,28,669,4376
777,7,10,29,406,2733
778,1,10,30,577,3953
779,2,10,31,853,6108
780,3,11,1,825,5668
781,4,11,2,845,6159
782,5,11,3,815,5810
783,6,11,4,724,4491
784,7,11,5,421,3110
785,1,11,6,568,4418
786,2,11,7,915,6529
787,3,11,8,814,5756
788,4,11,9,787,5716
789,5,11,10,776,5323
790,6,11,11,644,4280
791,7,11,12,392,2982
792,1,11,13,577,4365
793,2,11,14,946,6627
794,3,11,15,903,6467
795,4,11,16,919,6631
796,5,11,17,902,6378
797,6,11,18,690,4767
798,7,11,19,444,3501
799,1,11,20,649,4647
800,2,11,21,905,6336
801,3,11,22,918,6222
802,4,11,23,822,5527
803,5,11,24,636,4267
804,6,11,25,543,3733
805,7,11,26,487,3299
806,1,11,27,674,4530
807,2,11,28,880,6908
808,3,11,29,969,7714
809,4,11,30,1036,7490
810,5,12,1,961,7190
811,6,12,2,806,5391
812,7,12,3,489,3575
813,1,12,4,784,5285
814,2,12,5,987,7330
815,3,12,6,979,7489
816,4,12,7,998,7345
817,5,12,8,993,6679
818,6,12,9,780,5403
819,7,12,10,509,3573
820,1,12,11,677,4834
821,2,12,12,957,6905
822,3,12,13,985,6743
823,4,12,14,895,6201
824,5,12,15,842,5571
825,6,12,16,589,3872
826,7,12,17,404,2613
827,1,12,18,440,3109
828,2,12,19,668,4324
829,3,12,20,725,4226
830,4,12,21,636,3991
831,5,12,22,483,3160
832,6,12,23,369,2386
833,7,12,24,191,1115
834,1,12,25,190,1387
835,2,12,26,276,2147
836,3,12,27,428,2686
837,4,12,28,439,2885
838,5,12,29,437,2694
839,6,12,30,377,2273
840,7,12,31,193,1188
841,1,1,1,207,1447
842,2,1,2,396,2568
843,3,1,3,557,3566
844,4,1,4,590,3941
845,5,1,5,567,3841
846,6,1,6,526,3261
847,7,1,7,319,2241
848,1,1,8,373,2679
849,2,1,9,650,4182
850,3,1,10,648,4236
851,4,1,11,670,4628
852,5,1,12,622,4205
853,6,1,13,475,3459
854,7,1,14,354,2448
855,1,1,15,429,2853
856,2,1,16,635,4638
857,3,1,17,727,5325
858,4,1,18,694,4866
859,5,1,19,686,4715
860,6,1,20,577,3753
861,7,1,21,341,2481
862,1,1,22,420,3233
863,2,1,23,703,5034
864,3,1,24,684,4787
865,4,1,25,679,4901
866,5,1,26,613,4398
867,6,1,27,565,3823
868,7,1,28,367,2619
869,1,1,29,407,3518
870,2,1,30,699,5178
871,3,1,31,749,5290
872,4,2,1,714,5469
873,5,2,2,725,5399
874,6,2,3,670,4232
875,7,2,4,387,2828
876,1,2,5,502,3724
877,2,2,6,801,5733
878,3,2,7,763,5814
879,4,2,8,758,5349
880,5,2,9,671,5025
881,6,2,10,587,4044
882,7,2,11,354,2323
883,1,2,12,464,3147
884,2,2,13,705,4972
885,3,2,14,685,4878
886,4,2,15,747,5288
887,5,2,16,734,4968
888,6,2,17,590,3788
889,7,2,18,343,2514
890,1,2,19,519,3463
891,2,2,20,691,4931
892,3,2,21,794,5101
893,4,2,22,729,5144
894,5,2,23,715,4433
895,6,2,24,537,3597
896,7,2,25,344,2621
897,1,2,26,473,3397
898,2,2,27,803,5062
899,3,2,28,745,4926
900,4,3,1,736,4936
901,5,3,2,694,4688
902,6,3,3,559,3827
903,7,3,4,346,2452
904,1,3,5,436,3283
905,2,3,6,717,4823
906,3,3,7,720,4821
907,4,3,8,690,5059
908,5,3,9,700,4585
909,6,3,10,555,3682
910,7,3,11,363,2350
911,1,3,12,434,3056
912,2,3,13,646,4746
913,3,3,14,657,4613
914,4,3,15,747,4560
915,5,3,16,675,4520
916,6,3,17,503,3346
917,7,3,18,324,2253
918,1,3,19,460,2927
919,2,3,20,664,4878
920,3,3,21,679,4852
921,4,3,22,673,4585
922,5,3,23,660,4477
923,6,3,24,573,3654
924,7,3,25,340,2411
925,1,3,26,454,3054
926,2,3,27,714,4696
927,3,3,28,758,5033
928,4,3,29,721,4948
929,5,3,30,686,4636
930,6,3,31,576,3539
931,7,4,1,340,2371
932,1,4,2,444,2816
933,2,4,3,684,4493
934,3,4,4,747,4678
935,4,4,5,722,4737
936,5,4,6,708,4775
937,6,4,7,544,3658
938,7,4,8,340,2260
939,1,4,9,500,3343
940,2,4,10,684,4640
941,3,4,11,665,4694
942,4,4,12,717,4771
943,5,4,13,622,4173
944,6,4,14,486,3046
945,7,4,15,368,2260
946,1,4,16,443,2876
947,2,4,17,683,4774
948,3,4,18,796,5009
949,4,4,19,719,5369
950,5,4,20,700,5020
951,6,4,21,599,3935
952,7,4,22,419,2795
953,1,4,23,522,3795
954,2,4,24,831,5489
955,3,4,25,772,5680
956,4,4,26,735,5383
957,5,4,27,710,4890
958,6,4,28,577,3872
959,7,4,29,385,2790
960,1,4,30,498,3524
961,2,5,1,676,4903
962,3,5,2,723,5160
963,4,5,3,771,5194
964,5,5,4,742,5142
965,6,5,5,602,3836
966,7,5,6,409,2737
967,1,5,7,509,3386
968,2,5,8,685,4816
969,3,5,9,695,4734
970,4,5,10,721,4761
971,5,5,11,654,4277
972,6,5,12,564,3563
973,7,5,13,370,2401
974,1,5,14,452,2877
975,2,5,15,697,4448
976,3,5,16,633,4525
977,4,5,17,642,4533
978,5,5,18,621,4431
979,6,5,19,532,3456
980,7,5,20,319,2162
981,1,5,21,374,2786
982,2,5,22,638,4172
983,3,5,23,620,4255
984,4,5,24,596,4154
985,5,5,25,576,3803
986,6,5,26,463,2950
987,7,5,27,289,1909
988,1,5,28,382,2506
989,2,5,29,544,3325
990,3,5,30,611,4086
991,4,5,31,598,3716
992,5,6,1,536,3702
993,6,6,2,491,2959
994,7,6,3,310,2006
995,1,6,4,376,2479
996,2,6,5,538,3501
997,3,6,6,561,3985
998,4,6,7,599,3920
999,5,6,8,587,3868
1000,6,6,9,441,2921
1001,7,6,10,269,1655
1002,1,6,11,323,2229
1003,2,6,12,578,3660
1004,3,6,13,607,3898
1005,4,6,14,597,3912
1006,5,6,15,595,3604
1007,6,6,16,484,2970
1008,7,6,17,230,1546
1009,1,6,18,319,1944
1010,2,6,19,534,3608
1011,3,6,20,567,3514
1012,4,6,21,560,3344
1013,5,6,22,527,3292
1014,6,6,23,405,2469
1015,7,6,24,223,1296
1016,1,6,25,260,1546
1017,2,6,26,470,2948
1018,3,6,27,500,3077
1019,4,6,28,496,3028
1020,5,6,29,502,2738
1021,6,6,30,391,2147
1022,7,7,1,228,1277
1023,1,7,2,263,1606
1024,2,7,3,430,2504
1025,3,7,4,349,2218
1026,4,7,5,468,3024
1027,5,7,6,492,2951
1028,6,7,7,383,2401
1029,7,7,8,191,1242
1030,1,7,9,234,1511
1031,2,7,10,443,2934
1032,3,7,11,477,3003
1033,4,7,12,482,3073
1034,5,7,13,493,2933
1035,6,7,14,423,2468
1036,7,7,15,203,1355
1037,1,7,16,231,1553
1038,2,7,17,475,2902
1039,3,7,18,518,2899
1040,4,7,19,448,2986
1041,5,7,20,460,2964
1042,6,7,21,395,2433
1043,7,7,22,198,1280
1044,1,7,23,261,1603
1045,2,7,24,488,3154
1046,3,7,25,482,3084
1047,4,7,26,435,2983
1048,5,7,27,468,2849
1049,6,7,28,388,2420
1050,7,7,29,183,1300
1051,1,7,30,249,1526
1052,2,7,31,497,2872
1053,3,8,1,494,2914
1054,4,8,2,458,2843
1055,5,8,3,447,2649
1056,6,8,4,328,2042
1057,7,8,5,220,1225
1058,1,8,6,253,1562
1059,2,8,7,425,2751
1060,3,8,8,453,2634
1061,4,8,9,450,2704
1062,5,8,10,401,2670
1063,6,8,11,377,2073
1064,7,8,12,219,1240
1065,1,8,13,265,1530
1066,2,8,14,358,2392
1067,3,8,15,375,2675
